Tokenized_Tweet,Corrected_Token
"['hallo', 'dan', 'mau', 'laporkan', 'adanya', 'kegiatan', 'yang', 'melanggar', 'ketentuan', 'tentang', 'jaga', 'jarak', 'selama', 'wabah', 'covid', 'kemana', 'ya']","['halo', 'dan', 'mau', 'laporkan', 'adanya', 'kegiatan', 'yang', 'melanggar', 'ketentuan', 'tentang', 'jaga', 'jarak', 'selama', 'wabah', 'covid', 'kemana', 'ya']"
"['hei', 'guys', 'gw', 'mau', 'ngajak', 'kalian', 'untuk', 'agar', 'pandemik', 'covid', 'ini', 'lekas', 'hilang', 'aamiingimana', 'kurangin', 'dah', 'tuh', 'nongki', 'halan', 'atau', 'segala', 'aktivitas', 'diluar', 'ruangan', 'yuk', 'belajar', 'utbk', 'aja', 'tau', 'sendirikan', 'pesaing', 'lo', 'tuh', 'buanyak', 'banget', 'yok']","['hai', 'guys', 'gue', 'mau', 'ngajak', 'kalian', 'untuk', 'agar', 'pandemik', 'covid', 'ini', 'lekas', 'hilang', 'aamiingimana', 'kurangi', 'dah', 'tuh', 'nongki', 'halan', 'atau', 'segala', 'aktivitas', 'di', 'luar', 'ruangan', 'ayo', 'belajar', 'utbk', 'aja', 'tau', 'sendirikan', 'pesaing', 'lo', 'tuh', 'banyak', 'banget', 'ayo']"
"['jangan', 'ada', 'dusta', 'diantara', 'kita', 'kisah', 'pilu', 'dokter', 'menangani', 'pasien', 'yang', 'ternyata', 'positif', 'covid']","['jangan', 'ada', 'dusta', 'diantara', 'kita', 'kisah', 'pilu', 'dokter', 'menangani', 'pasien', 'yang', 'ternyata', 'positif', 'covid']"
"['covid', 'telah', 'bermutasi', 'ada', 'gelombang', 'kedua', 'virus', 'corona']","['covid', 'telah', 'bermutasi', 'ada', 'gelombang', 'kedua', 'virus', 'corona']"
"['salam', 'jumaat', 'ya', 'allah', 'kami', 'menadah', 'tangan', 'minta', 'keampunan', 'pada', 'mu', 'dan', 'berserah', 'diri', 'dengan', 'mu', 'dan', 'berilah', 'kekuatan', 'dan', 'kesihatan', 'yang', 'baik', 'jauhilah', 'kami', 'dari', 'segala', 'penyakit', 'berjangkit', 'covid', 'dan', 'hamba', 'mu', 'yang', 'sedang', 'berjuang', 'kesakitan', 'yang', 'berada', 'di', 'hospital']","['salam', 'jumat', 'ya', 'allah', 'kami', 'menadah', 'tangan', 'meminta', 'keampunan', 'pada', 'mu', 'dan', 'berserah', 'diri', 'dengan', 'mu', 'dan', 'berilah', 'kekuatan', 'dan', 'kesehatan', 'yang', 'baik', 'jauhilah', 'kami', 'dari', 'segala', 'penyakit', 'berjangkit', 'covid', 'dan', 'hamba', 'mu', 'yang', 'sedang', 'berjuang', 'kesakitan', 'yang', 'berada', 'di', 'hospital']"
"['saya', 'kuatir', 'test', 'covid', 'belum', 'menyeluruh', 'tau', 'nanti', 'ada', 'korban', 'tergeletak', 'mati', 'suspek', 'corona', 'ngeri']","['saya', 'khawatir', 'tes', 'covid', 'belum', 'menyeluruh', 'tau', 'nanti', 'ada', 'korban', 'tergeletak', 'mati', 'suspek', 'corona', 'ngeri']"
"['ada', 'yang', 'kek', 'gue', 'saking', 'fokus', 'sama', 'berita', 'soal', 'covid', 'hari', 'ini', 'siap', 'siap', 'kerja', 'padahalan', 'tanggal', 'merah', 'yalord']","['ada', 'yang', 'kek', 'gue', 'saking', 'fokus', 'sama', 'berita', 'soal', 'covid', 'hari', 'ini', 'siap', 'siap', 'kerja', 'padahalan', 'tanggal', 'merah', 'ya', 'tuhan']"
"['berarti', 'dah', 'lama', 'gak', 'gitaran', 'mungkin', 'mau', 'bikin', 'album', 'lagu', 'buat', 'corona', 'covid', 'yudhoyono']","['berarti', 'dah', 'lama', 'gak', 'gitaran', 'mungkin', 'mau', 'membuat', 'album', 'lagu', 'buat', 'corona', 'covid', 'yudhoyono']"
"['berat', 'mbah', 'terlalu', 'banyak', 'kemungkinan', 'sedang', 'haid', 'gak', 'ndang', 'mampet', 'jualan', 'online', 'gak', 'payupayu', 'lagi', 'horny', 'sing', 'lanang', 'mumet', 'covid', 'sudah', 'masak', 'enak', 'dapat', 'berkatan', 'yg', 'lebih', 'enak', 'sariawanloro', 'untukeputihanmurus', 'ilate', 'kecakot', 'bengese', 'anyar', 'masker', 'kerlisut', 'dst']","['berat', 'mbah', 'terlalu', 'banyak', 'kemungkinan', 'sedang', 'haid', 'gak', 'segera', 'mampat', 'jualan', 'online', 'gak', 'payupayu', 'lagi', 'horny', 'sing', 'laki', 'laki', 'pusing', 'covid', 'sudah', 'masak', 'enak', 'dapat', 'berkatan', 'yg', 'lebih', 'enak', 'sariawanloro', 'untukeputihanmurus', 'ilate', 'kecakot', 'bengese', 'anyar', 'masker', 'kerlisut', 'dan', 'seterusnya']"
"['amalkan', 'langkahlangkah', 'pencegahan', 'penularan', 'covid', 'sebagai', 'amalan', 'dalam', 'kehidupan', 'seharian', 'kita']","['amalkan', 'langkahlangkah', 'pencegahan', 'penularan', 'covid', 'sebagai', 'amalan', 'dalam', 'kehidupan', 'seharian', 'kita']"
