Processed_Tweet,Tokenized_Tweet
kalau tidak dimulai dari diri sendiri mana mungkinyukkkkita putus mata rantai penyemangat covid di indonesia dimulai dari diri sendiri,"['kalau', 'tidak', 'dimulai', 'dari', 'diri', 'sendiri', 'mana', 'mungkinyukkkkita', 'putus', 'mata', 'rantai', 'penyemangat', 'covid', 'di', 'indonesia', 'dimulai', 'dari', 'diri', 'sendiri']"
sinergitas tnipolri untuk mencegah penyebaran virus covid,"['sinergitas', 'tnipolri', 'untuk', 'mencegah', 'penyebaran', 'virus', 'covid']"
kucing bukan penyebar covid kepada manusia jabatan perkhidmatan veterinar,"['kucing', 'bukan', 'penyebar', 'covid', 'kepada', 'manusia', 'jabatan', 'perkhidmatan', 'veterinar']"
pemkab wondama perbanyak pos pemantauan covid opm,"['pemkab', 'wondama', 'perbanyak', 'pos', 'pemantauan', 'covid', 'opm']"
covid pelajar unimas berusia tahun maut,"['covid', 'pelajar', 'unimas', 'berusia', 'tahun', 'maut']"
murid mamaku dikasih tugas menggambar poster pencegahan covid anaknya malah pada nggambar virus segede gaban dibawahnya dikasih tulisan ya allah lindungilah aku,"['murid', 'mamaku', 'dikasih', 'tugas', 'menggambar', 'poster', 'pencegahan', 'covid', 'anaknya', 'malah', 'pada', 'nggambar', 'virus', 'segede', 'gaban', 'dibawahnya', 'dikasih', 'tulisan', 'ya', 'allah', 'lindungilah', 'aku']"
meluasnya pandemi coronavirus disease covid di indonesia termasuk di papua berdampak pada sejumlah sektor salah satunya perhotelan opm,"['meluasnya', 'pandemi', 'coronavirus', 'disease', 'covid', 'di', 'indonesia', 'termasuk', 'di', 'papua', 'berdampak', 'pada', 'sejumlah', 'sektor', 'salah', 'satunya', 'perhotelan', 'opm']"
ada gelombang kedua virus corona covid telah bermutasi,"['ada', 'gelombang', 'kedua', 'virus', 'corona', 'covid', 'telah', 'bermutasi']"
bantuan masyarakat terus mengalir rekening gugus tugas covid sudah terisi rp miliar,"['bantuan', 'masyarakat', 'terus', 'mengalir', 'rekening', 'gugus', 'tugas', 'covid', 'sudah', 'terisi', 'rp', 'miliar']"
ada cara mnyuruh covid sgera pergi jangan lagi jauh dari allah sang maha pencipta bukankh covid telah mendidik kita dlm suasana covid aktif menyebar semua org ketakutan amp semua org baru mendekat berdzikir dan berdoa memohon perlindungan allah sang kholiq,"['ada', 'cara', 'mnyuruh', 'covid', 'sgera', 'pergi', 'jangan', 'lagi', 'jauh', 'dari', 'allah', 'sang', 'maha', 'pencipta', 'bukankh', 'covid', 'telah', 'mendidik', 'kita', 'dlm', 'suasana', 'covid', 'aktif', 'menyebar', 'semua', 'org', 'ketakutan', 'amp', 'semua', 'org', 'baru', 'mendekat', 'berdzikir', 'dan', 'berdoa', 'memohon', 'perlindungan', 'allah', 'sang', 'kholiq']"
di malaysia kena covid temen temen lo yang pada ga punya kerjaan pada pulang ke indonesia ada rb orang dan juga mereka ber resiko bawa tuh virus ga boleh pulang juga,"['di', 'malaysia', 'kena', 'covid', 'temen', 'temen', 'lo', 'yang', 'pada', 'ga', 'punya', 'kerjaan', 'pada', 'pulang', 'ke', 'indonesia', 'ada', 'rb', 'orang', 'dan', 'juga', 'mereka', 'ber', 'resiko', 'bawa', 'tuh', 'virus', 'ga', 'boleh', 'pulang', 'juga']"
skrinews cegah penyebaran virus corona wartawan media skri jadi satgas relawan covid didesanya,"['skrinews', 'cegah', 'penyebaran', 'virus', 'corona', 'wartawan', 'media', 'skri', 'jadi', 'satgas', 'relawan', 'covid', 'didesanya']"
lebaran sebentar lagi gara covid lebaran apa masih pada butuh aksesoris enggak ya,"['lebaran', 'sebentar', 'lagi', 'gara', 'covid', 'lebaran', 'apa', 'masih', 'pada', 'butuh', 'aksesoris', 'enggak', 'ya']"
giat bhabinkamtibmas bersama masyarakat melakukan penyemprotan disinfektan untuk mencegah penyebaran virus covid,"['giat', 'bhabinkamtibmas', 'bersama', 'masyarakat', 'melakukan', 'penyemprotan', 'disinfektan', 'untuk', 'mencegah', 'penyebaran', 'virus', 'covid']"
kasih sayang allah di balik musibah covid,"['kasih', 'sayang', 'allah', 'di', 'balik', 'musibah', 'covid']"
anggota polsek koba himbau para pemuda tidak kumpulkumpul dan segera pulang kerumahnya masingmasing untuk mencegah penyebaran covid,"['anggota', 'polsek', 'koba', 'himbau', 'para', 'pemuda', 'tidak', 'kumpulkumpul', 'dan', 'segera', 'pulang', 'kerumahnya', 'masingmasing', 'untuk', 'mencegah', 'penyebaran', 'covid']"
met pagi nkrispy g trlalu heboh data kematian covid jadikan perbandingan kematian seluruh prop d indon sblm wabah corona terjadi d indonjk jumlahnya setara kematian sblm amp stlh coronamk jumlah tsb angka kematian norma sj,"['met', 'pagi', 'nkrispy', 'g', 'trlalu', 'heboh', 'data', 'kematian', 'covid', 'jadikan', 'perbandingan', 'kematian', 'seluruh', 'prop', 'd', 'indon', 'sblm', 'wabah', 'corona', 'terjadi', 'd', 'indonjk', 'jumlahnya', 'setara', 'kematian', 'sblm', 'amp', 'stlh', 'coronamk', 'jumlah', 'tsb', 'angka', 'kematian', 'norma', 'sj']"
tido la tak nak harap apa apa dia dari azali takde hati macam tu cuba berharap covid takde je tu je,"['tido', 'la', 'tak', 'nak', 'harap', 'apa', 'apa', 'dia', 'dari', 'azali', 'takde', 'hati', 'macam', 'tu', 'cuba', 'berharap', 'covid', 'takde', 'je', 'tu', 'je']"
untuk mengetahui bagaimana mencegah penyakit wabak covid sila baca risalah ini,"['untuk', 'mengetahui', 'bagaimana', 'mencegah', 'penyakit', 'wabak', 'covid', 'sila', 'baca', 'risalah', 'ini']"
iya sel aku liat dengerin lukman sardi bilang rumah sakit penuh makanya disuruh pulang orang awam kan taunya diusir padahal triase artinya emang di jkt parah banget covid shg orang dg sakit parah lain mlh jd kena triase,"['iya', 'sel', 'aku', 'liat', 'dengerin', 'lukman', 'sardi', 'bilang', 'rumah', 'sakit', 'penuh', 'makanya', 'disuruh', 'pulang', 'orang', 'awam', 'kan', 'taunya', 'diusir', 'padahal', 'triase', 'artinya', 'emang', 'di', 'jkt', 'parah', 'banget', 'covid', 'shg', 'orang', 'dg', 'sakit', 'parah', 'lain', 'mlh', 'jd', 'kena', 'triase']"
kopi pagi ini cukup nikmatkabar baiknya pemerintah aceh menyalurkan bantuan pokok utk masyarakat terdampak covid dgn kriteria bukan penerima pkh bpntalhamdulillah,"['kopi', 'pagi', 'ini', 'cukup', 'nikmatkabar', 'baiknya', 'pemerintah', 'aceh', 'menyalurkan', 'bantuan', 'pokok', 'utk', 'masyarakat', 'terdampak', 'covid', 'dgn', 'kriteria', 'bukan', 'penerima', 'pkh', 'bpntalhamdulillah']"
hingga april polri tindak kasus penyimpangan produksi dan distribusi apd covid,"['hingga', 'april', 'polri', 'tindak', 'kasus', 'penyimpangan', 'produksi', 'dan', 'distribusi', 'apd', 'covid']"
eh bacot lu lbih parah dari covid anjing sia ke bele pantat korengan sok blgu,"['eh', 'bacot', 'lu', 'lbih', 'parah', 'dari', 'covid', 'anjing', 'sia', 'ke', 'bele', 'pantat', 'korengan', 'sok', 'blgu']"
lumpuhnya peran negara dalam menangani covid tegakkan agar terwujud,"['lumpuhnya', 'peran', 'negara', 'dalam', 'menangani', 'covid', 'tegakkan', 'agar', 'terwujud']"
my liberty ends where your nose begins pas banget di era covid dicolekcolek hidungnya di masa normal aja nggak mau apalagi di masa covid,"['my', 'liberty', 'ends', 'where', 'your', 'nose', 'begins', 'pas', 'banget', 'di', 'era', 'covid', 'dicolekcolek', 'hidungnya', 'di', 'masa', 'normal', 'aja', 'nggak', 'mau', 'apalagi', 'di', 'masa', 'covid']"
terkejutkami terkanjat je warga indonesia terkejut dgn tindakan pemerintah malaysia menjaga rakyatnya dgn pemberian pelbagai insentif dsaat pelaksanaan pkp berikutan penularan wabak covidbaca komen warga indonesia di ruang komen youtube,"['terkejutkami', 'terkanjat', 'je', 'warga', 'indonesia', 'terkejut', 'dgn', 'tindakan', 'pemerintah', 'malaysia', 'menjaga', 'rakyatnya', 'dgn', 'pemberian', 'pelbagai', 'insentif', 'dsaat', 'pelaksanaan', 'pkp', 'berikutan', 'penularan', 'wabak', 'covidbaca', 'komen', 'warga', 'indonesia', 'di', 'ruang', 'komen', 'youtube']"
sugeng ambal warso kita bahgia saat ini adalah covid segera teratasi dan semua bisa melakukan kegiatan seperti biasa,"['sugeng', 'ambal', 'warso', 'kita', 'bahgia', 'saat', 'ini', 'adalah', 'covid', 'segera', 'teratasi', 'dan', 'semua', 'bisa', 'melakukan', 'kegiatan', 'seperti', 'biasa']"
tinggal jawab covid emak belum lahir dek jadi emak gak tau emak kan waktu itu masih jadi hawa nafsu,"['tinggal', 'jawab', 'covid', 'emak', 'belum', 'lahir', 'dek', 'jadi', 'emak', 'gak', 'tau', 'emak', 'kan', 'waktu', 'itu', 'masih', 'jadi', 'hawa', 'nafsu']"
bakal susah keknya memutus mata rantai covid di indonesia selain tentang budaya masyarakat yang mayoritas belanja ke pasar tradisional masih banyak juga yang keluar rumah cuma mau ngereceh,"['bakal', 'susah', 'keknya', 'memutus', 'mata', 'rantai', 'covid', 'di', 'indonesia', 'selain', 'tentang', 'budaya', 'masyarakat', 'yang', 'mayoritas', 'belanja', 'ke', 'pasar', 'tradisional', 'masih', 'banyak', 'juga', 'yang', 'keluar', 'rumah', 'cuma', 'mau', 'ngereceh']"
langkah yg dapat di ambil pemerintah dalam mengatasi dampak covid terhadap kerjasama internasional jawab v pengumpulan data kesakitan dan kematian penduduk pemeriksaan klinis fisik laboratorium dan penegakan diagnosis,"['langkah', 'yg', 'dapat', 'di', 'ambil', 'pemerintah', 'dalam', 'mengatasi', 'dampak', 'covid', 'terhadap', 'kerjasama', 'internasional', 'jawab', 'v', 'pengumpulan', 'data', 'kesakitan', 'dan', 'kematian', 'penduduk', 'pemeriksaan', 'klinis', 'fisik', 'laboratorium', 'dan', 'penegakan', 'diagnosis']"
kurangkan risiko awda terhadap jangkitan virus covid,"['kurangkan', 'risiko', 'awda', 'terhadap', 'jangkitan', 'virus', 'covid']"
ini tips ilmuwan cara tingkatkan kekebalan tubuh mari bersama kita lawan covid sistem ketahanan tubuh adalah mekanisme yang efektif untuk menjaga tubuh dari serangan penyakit via,"['ini', 'tips', 'ilmuwan', 'cara', 'tingkatkan', 'kekebalan', 'tubuh', 'mari', 'bersama', 'kita', 'lawan', 'covid', 'sistem', 'ketahanan', 'tubuh', 'adalah', 'mekanisme', 'yang', 'efektif', 'untuk', 'menjaga', 'tubuh', 'dari', 'serangan', 'penyakit', 'via']"
selamat memperingati jumat agung selamat memaknai arti pengorbanannya yang sesungguhnya demi cinta kasih di masa kini pengorbanan kita untuk melawan covid juga pasti berbuah baik sama seperti datangnya paskah di kemudian harihappy good friday,"['selamat', 'memperingati', 'jumat', 'agung', 'selamat', 'memaknai', 'arti', 'pengorbanannya', 'yang', 'sesungguhnya', 'demi', 'cinta', 'kasih', 'di', 'masa', 'kini', 'pengorbanan', 'kita', 'untuk', 'melawan', 'covid', 'juga', 'pasti', 'berbuah', 'baik', 'sama', 'seperti', 'datangnya', 'paskah', 'di', 'kemudian', 'harihappy', 'good', 'friday']"
pandemi covid mendikbud dana bos bisa digunakan membeli kuota internet siswa,"['pandemi', 'covid', 'mendikbud', 'dana', 'bos', 'bisa', 'digunakan', 'membeli', 'kuota', 'internet', 'siswa']"
semoga diberikan kesehatan jasmani n rohani ya dok dan semoga kita semua selalu dalam lindungan allah swt agar terhindar dari fitnah dajjal aamiin mulut senantiasa selalu berdzikir insyaallah bs mjdi tameng virus covid selain ikhtiar,"['semoga', 'diberikan', 'kesehatan', 'jasmani', 'n', 'rohani', 'ya', 'dok', 'dan', 'semoga', 'kita', 'semua', 'selalu', 'dalam', 'lindungan', 'allah', 'swt', 'agar', 'terhindar', 'dari', 'fitnah', 'dajjal', 'aamiin', 'mulut', 'senantiasa', 'selalu', 'berdzikir', 'insyaallah', 'bs', 'mjdi', 'tameng', 'virus', 'covid', 'selain', 'ikhtiar']"
lebih narapidana bebas di tengah wabah covid termasuk koruptor serbaserbi mmc,"['lebih', 'narapidana', 'bebas', 'di', 'tengah', 'wabah', 'covid', 'termasuk', 'koruptor', 'serbaserbi', 'mmc']"
semoga segera diberi kesembuhan jgn coba lg menulis corona tentara allah virus tdk mengenal sara marilah berdoa spy wabah ini segera berakhir amiiin,"['semoga', 'segera', 'diberi', 'kesembuhan', 'jgn', 'coba', 'lg', 'menulis', 'corona', 'tentara', 'allah', 'virus', 'tdk', 'mengenal', 'sara', 'marilah', 'berdoa', 'spy', 'wabah', 'ini', 'segera', 'berakhir', 'amiiin']"
kalo emang kehati hatian bisa mencegah coronamungkin pangeran charles tidak akan terpapar covid krn hidupnya paling hati dan terjaga,"['kalo', 'emang', 'kehati', 'hatian', 'bisa', 'mencegah', 'coronamungkin', 'pangeran', 'charles', 'tidak', 'akan', 'terpapar', 'covid', 'krn', 'hidupnya', 'paling', 'hati', 'dan', 'terjaga']"
gejala covid,"['gejala', 'covid']"
kemarin yakin sekali kedepan akan seperti ini dan itu taunya wabah covid merubah semuannya sekarang doannya samal allah mintannya dirahmati dan dilindungi dimudahkan serta menjadi orang yang beruntung jangan sok kuat bro kita diatur jangan sok mengatur,"['kemarin', 'yakin', 'sekali', 'kedepan', 'akan', 'seperti', 'ini', 'dan', 'itu', 'taunya', 'wabah', 'covid', 'merubah', 'semuannya', 'sekarang', 'doannya', 'samal', 'allah', 'mintannya', 'dirahmati', 'dan', 'dilindungi', 'dimudahkan', 'serta', 'menjadi', 'orang', 'yang', 'beruntung', 'jangan', 'sok', 'kuat', 'bro', 'kita', 'diatur', 'jangan', 'sok', 'mengatur']"
covid,['covid']
covid i oleh renang ra to,"['covid', 'i', 'oleh', 'renang', 'ra', 'to']"
